site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,source,estimate_Ts,year_removed,NEE,FC,TA,TS,SWC,SW_IN,USTAR,RH,VPD,comment,gStart,gEnd,SWC_use,netrad_column,estimate_ts_method,ts_col,ts_linear_domain,growing_year_start,ts_source
DE-Hte,54.2103,12.1761,0.2,WET,Dfb,645,FLUXNET,YES,,,,,,,,,,,,,,NO,,linear regression,TS_measured,,,reconstructed
DE-Hzd,50.96381,13.48978,395,DBF,Dfb,877,FLUXNET+ICOS,NO,,,,,,,,,,,,,,NO,,,TS_measured,,,sensor
DE-RuC,50.5031,6.336,610,OSH,Cfb,1250,FLUXNET,NO,,,,,,,,,,,,,,YES,,,TS_linear,ac,,sensor
DE-RuW,50.5049269,6.33096248,610,ENF,Cfb,1250,FLUXNET+ICOS,NO,,,,,,,,,,,,91,330,YES,,,TS_measured,,,sensor
DE-SfS,47.80629,11.32757,619,WET,Cfb,1127,FLUXNET,NO,,,,,,,,,,,,,,NO,,,TS_linear,ac,,sensor
FR-Bil,44.493652,-0.956092,39,ENF,Cfb,960.1,FLUXNET+ICOS,YES,,,,,,,,,,,,,,NO,,,TS_measured,,,reconstructed
SE-Nor,60.0865,17.479504,58,ENF,Dfb,586,WW2020+FLUXNET+ICOS,NO,,,,,,,,,,,,,,YES,,,TS_measured,,,sensor
SE-Svb,64.25611,19.7745,267,ENF,Dfc,614,FLUXNET+ICOS,NO,,,,,,,,,,,,,,NO,,,TS_measured,,,sensor
UK-AMo,55.792545,-3.2436917,268,WET,Cfc,960,FLUXNET+ICOS,NO,,,,,,,,,,,,,,NO,,,TS_linear,ac,,sensor
CA-Mer,45.4094,-75.5186,70,WET,Dfb,943,AmeriFlux_BASE,NO,,FC + SC,,TA,TS_2_1_1,SWC_2_1_1,PPFD_IN,USTAR,RH,,,,,NO,,,TS_linear,ac,,sensor
